,snapshot,component_buy,fieldtype_buy,field_buy,value_buy,mode_buy,component_sell,fieldtype_sell,field_sell,value_sell,mode_sell
185,t186,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
186,t187,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
187,t188,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
188,t189,buy_electricity,exp,value,4.328341855368882,primal,sell_electricity,exp,value,0.0,primal
189,t190,buy_electricity,exp,value,4.061115169223277,primal,sell_electricity,exp,value,0.0,primal
190,t191,buy_electricity,exp,value,3.9486242999756516,primal,sell_electricity,exp,value,0.0,primal
191,t192,buy_electricity,exp,value,3.6899196493791084,primal,sell_electricity,exp,value,0.0,primal
192,t193,buy_electricity,exp,value,3.557219381543706,primal,sell_electricity,exp,value,0.0,primal
193,t194,buy_electricity,exp,value,6.868024264973732,primal,sell_electricity,exp,value,0.0,primal
194,t195,buy_electricity,exp,value,8.357195032870708,primal,sell_electricity,exp,value,0.0,primal
195,t196,buy_electricity,exp,value,8.296079863647432,primal,sell_electricity,exp,value,0.0,primal
196,t197,buy_electricity,exp,value,8.362429997565133,primal,sell_electricity,exp,value,0.0,primal
197,t198,buy_electricity,exp,value,3.660579498417336,primal,sell_electricity,exp,value,0.0,primal
198,t199,buy_electricity,exp,value,4.233503774044315,primal,sell_electricity,exp,value,0.0,primal
199,t200,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
200,t201,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.22935105719923277,primal
201,t202,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
202,t203,buy_electricity,exp,value,4.319052370967409,primal,sell_electricity,exp,value,0.0,primal
203,t204,buy_electricity,exp,value,9.069220840706905,primal,sell_electricity,exp,value,0.0,primal
204,t205,buy_electricity,exp,value,8.934632950343994,primal,sell_electricity,exp,value,0.0,primal
205,t206,buy_electricity,exp,value,8.952965123059201,primal,sell_electricity,exp,value,0.0,primal
206,t207,buy_electricity,exp,value,4.135289696169546,primal,sell_electricity,exp,value,0.0,primal
207,t208,buy_electricity,exp,value,4.410331311227878,primal,sell_electricity,exp,value,0.0,primal
208,t209,buy_electricity,exp,value,1.414422214080525,primal,sell_electricity,exp,value,0.0,primal
209,t210,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
210,t211,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
211,t212,buy_electricity,exp,value,0.0,primal,sell_electricity,exp,value,0.0,primal
212,t213,buy_electricity,exp,value,4.2932797662527395,primal,sell_electricity,exp,value,0.0,primal
213,t214,buy_electricity,exp,value,4.0001217433649865,primal,sell_electricity,exp,value,0.0,primal
214,t215,buy_electricity,exp,value,3.8855612369125883,primal,sell_electricity,exp,value,0.0,primal
215,t216,buy_electricity,exp,value,3.6733625517409303,primal,sell_electricity,exp,value,0.0,primal
