,snapshot,component_pv,fieldtype_pv,field_pv,value_pv,mode_pv,component_load,fieldtype_load,field_load,value_load,mode_load
165,t166,pv,exp,value,0.0,primal,load,exp,value,3.395300706111517,primal
166,t167,pv,exp,value,0.0,primal,load,exp,value,3.4295105916727535,primal
167,t168,pv,exp,value,0.0,primal,load,exp,value,3.2524957389822258,primal
168,t169,pv,exp,value,0.0,primal,load,exp,value,3.1649622595568543,primal
169,t170,pv,exp,value,0.0,primal,load,exp,value,3.0466277087898708,primal
170,t171,pv,exp,value,0.0,primal,load,exp,value,3.038470903335768,primal
171,t172,pv,exp,value,0.0,primal,load,exp,value,3.0362795227660095,primal
172,t173,pv,exp,value,0.0,primal,load,exp,value,3.1182128074019966,primal
173,t174,pv,exp,value,0.0,primal,load,exp,value,3.4541027514000486,primal
174,t175,pv,exp,value,0.0,primal,load,exp,value,4.028244460676893,primal
175,t176,pv,exp,value,0.010825114265095019,primal,load,exp,value,4.497565132700268,primal
176,t177,pv,exp,value,0.1034399807553524,primal,load,exp,value,4.795714633552471,primal
177,t178,pv,exp,value,0.2393553043059899,primal,load,exp,value,4.932067202337473,primal
178,t179,pv,exp,value,0.41736829444310797,primal,load,exp,value,4.998052106160214,primal
179,t180,pv,exp,value,0.5580947798893433,primal,load,exp,value,5.0,primal
180,t181,pv,exp,value,0.6098147702670195,primal,load,exp,value,4.928658388117848,primal
181,t182,pv,exp,value,0.5556891989415444,primal,load,exp,value,4.867056245434624,primal
182,t183,pv,exp,value,0.4089487611258119,primal,load,exp,value,4.807036766496226,primal
183,t184,pv,exp,value,0.20327159008900647,primal,load,exp,value,4.780983686389092,primal
184,t185,pv,exp,value,0.031272552321385615,primal,load,exp,value,4.80435841246652,primal
185,t186,pv,exp,value,0.0,primal,load,exp,value,4.865108351594838,primal
186,t187,pv,exp,value,0.0,primal,load,exp,value,4.7879230581933285,primal
187,t188,pv,exp,value,0.0,primal,load,exp,value,4.579741904066228,primal
188,t189,pv,exp,value,0.0,primal,load,exp,value,4.328341855368882,primal
189,t190,pv,exp,value,0.0,primal,load,exp,value,4.061115169223277,primal
190,t191,pv,exp,value,0.0,primal,load,exp,value,3.9486242999756516,primal
191,t192,pv,exp,value,0.0,primal,load,exp,value,3.6899196493791084,primal
192,t193,pv,exp,value,0.0,primal,load,exp,value,3.557219381543706,primal
193,t194,pv,exp,value,0.0,primal,load,exp,value,3.4004139274409546,primal
194,t195,pv,exp,value,0.0,primal,load,exp,value,3.3571950328707083,primal
195,t196,pv,exp,value,0.0,primal,load,exp,value,3.2960798636474316,primal
196,t197,pv,exp,value,0.0,primal,load,exp,value,3.362429997565133,primal
197,t198,pv,exp,value,0.0,primal,load,exp,value,3.660579498417336,primal
198,t199,pv,exp,value,0.0,primal,load,exp,value,4.233503774044315,primal
199,t200,pv,exp,value,0.009622323791195575,primal,load,exp,value,4.701485269052837,primal
200,t201,pv,exp,value,0.13110416165503969,primal,load,exp,value,4.901753104455807,primal
201,t202,pv,exp,value,0.3403897041135434,primal,load,exp,value,4.942293644996348,primal
202,t203,pv,exp,value,0.58696175126293,primal,load,exp,value,4.906014122230339,primal
203,t204,pv,exp,value,0.7757998556651431,primal,load,exp,value,4.845020696372048,primal
204,t205,pv,exp,value,0.8407505412557132,primal,load,exp,value,4.775383491599708,primal
205,t206,pv,exp,value,0.756555208082752,primal,load,exp,value,4.7095203311419525,primal
206,t207,pv,exp,value,0.5484724560981478,primal,load,exp,value,4.637691745799854,primal
207,t208,pv,exp,value,0.2646139042578783,primal,load,exp,value,4.6749452154857565,primal
208,t209,pv,exp,value,0.03367813326918451,primal,load,exp,value,4.7571219868517165,primal
209,t210,pv,exp,value,0.0,primal,load,exp,value,4.869856342829316,primal
210,t211,pv,exp,value,0.0,primal,load,exp,value,4.786096907718529,primal
211,t212,pv,exp,value,0.0,primal,load,exp,value,4.5792549306062815,primal
212,t213,pv,exp,value,0.0,primal,load,exp,value,4.2932797662527395,primal
213,t214,pv,exp,value,0.0,primal,load,exp,value,4.0001217433649865,primal
214,t215,pv,exp,value,0.0,primal,load,exp,value,3.8855612369125883,primal
215,t216,pv,exp,value,0.0,primal,load,exp,value,3.6733625517409303,primal
216,t217,pv,exp,value,0.0,primal,load,exp,value,3.5193571950328706,primal
217,t218,pv,exp,value,0.0,primal,load,exp,value,3.3899439980521064,primal
218,t219,pv,exp,value,0.0,primal,load,exp,value,3.3172632091551013,primal
219,t220,pv,exp,value,0.0,primal,load,exp,value,3.273313854394935,primal
220,t221,pv,exp,value,0.0,primal,load,exp,value,3.349159970781592,primal
221,t222,pv,exp,value,0.0,primal,load,exp,value,3.6831020209398586,primal
222,t223,pv,exp,value,0.0,primal,load,exp,value,4.2741660579498415,primal
223,t224,pv,exp,value,0.009622323791195575,primal,load,exp,value,4.7655222790357925,primal
224,t225,pv,exp,value,0.13230695212893914,primal,load,exp,value,4.956415875334795,primal
225,t226,pv,exp,value,0.3548231898003368,primal,load,exp,value,4.857925493060628,primal
226,t227,pv,exp,value,0.6230454654799135,primal,load,exp,value,4.71499878256635,primal
227,t228,pv,exp,value,0.8371421698340149,primal,load,exp,value,4.588385682980277,primal
228,t229,pv,exp,value,0.926148664902574,primal,load,exp,value,4.437302167031897,primal
229,t230,pv,exp,value,0.8551840269425066,primal,load,exp,value,4.38945702459216,primal
230,t231,pv,exp,value,0.6374789511667067,primal,load,exp,value,4.368760652544436,primal
231,t232,pv,exp,value,0.31392831368775564,primal,load,exp,value,4.505234964694424,primal
232,t233,pv,exp,value,0.03969208563868175,primal,load,exp,value,4.6868760652544434,primal
233,t234,pv,exp,value,0.0,primal,load,exp,value,4.811419527635744,primal
234,t235,pv,exp,value,0.0,primal,load,exp,value,4.759069880691502,primal
235,t236,pv,exp,value,0.0,primal,load,exp,value,4.557949841733626,primal
236,t237,pv,exp,value,0.0,primal,load,exp,value,4.308862916971025,primal
237,t238,pv,exp,value,0.0,primal,load,exp,value,4.022400779157536,primal
238,t239,pv,exp,value,0.0,primal,load,exp,value,3.9256148039931826,primal
239,t240,pv,exp,value,0.0,primal,load,exp,value,3.6783540297053814,primal
240,t241,pv,exp,value,0.0,primal,load,exp,value,3.5294618943267593,primal
241,t242,pv,exp,value,0.0,primal,load,exp,value,3.401753104455807,primal
242,t243,pv,exp,value,0.0,primal,load,exp,value,3.3500121743364986,primal
243,t244,pv,exp,value,0.0,primal,load,exp,value,3.31981981981982,primal
244,t245,pv,exp,value,0.0,primal,load,exp,value,3.406866325785245,primal
245,t246,pv,exp,value,0.0,primal,load,exp,value,3.748965181397614,primal
246,t247,pv,exp,value,0.0,primal,load,exp,value,4.36109082055028,primal
247,t248,pv,exp,value,0.010825114265095019,primal,load,exp,value,4.823472120769418,primal
248,t249,pv,exp,value,0.13832090449843637,primal,load,exp,value,4.981738495252009,primal
249,t250,pv,exp,value,0.3644455135915323,primal,load,exp,value,4.850986121256391,primal
250,t251,pv,exp,value,0.643492903536204,primal,load,exp,value,4.73618212807402,primal
251,t252,pv,exp,value,0.8696175126293,primal,load,exp,value,4.588872656440223,primal
252,t253,pv,exp,value,0.9718547029107529,primal,load,exp,value,4.443267591916241,primal
253,t254,pv,exp,value,0.8960789030550877,primal,load,exp,value,4.386413440467495,primal
254,t255,pv,exp,value,0.6639403415924947,primal,load,exp,value,4.386778670562455,primal
255,t256,pv,exp,value,0.328361799374549,primal,load,exp,value,4.518991964937911,primal
